"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","last.tweet","community","count.numbers","number"
"Life on a bus route in Altadore? #yyckidcount (The one who didn't say trick or treat was a dog...) http://t.co/Snr0OW4RxR",FALSE,1,NA,2014-11-01 01:43:40,FALSE,NA,"528361699678498816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camjstark",0,FALSE,FALSE,NA,NA,"528361699678498816","ALTADORE",2,NA
"@nenshi #yyckidcount 100 kids here at Country Hills!",FALSE,0,"nenshi",2014-11-01 01:47:01,FALSE,"528332800282619905","528362545363816448","33798654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GSanhueza",0,FALSE,FALSE,NA,NA,"528362545363816448","COUNTRY HILLS",1,100
"@nenshi silverado 24 kids #yyckidcount",FALSE,0,"nenshi",2014-11-01 01:47:03,FALSE,NA,"528362550908706816","33798654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_am_ameyers",0,FALSE,FALSE,NA,NA,"528362550908706816","SILVERADO",1,24
"#yyckidcount 33 in Citadel Meadow NW",FALSE,0,NA,2014-11-01 01:48:09,FALSE,NA,"528362829057777664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Andrew_Sully",0,FALSE,FALSE,NA,NA,"528362829057777664","CITADEL",1,33
"@nenshi We had 73 in Crestmont #yyckidcount",FALSE,0,"nenshi",2014-11-01 01:49:47,FALSE,NA,"528363237687844864","33798654","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","ChrisSmithYYC",0,FALSE,FALSE,NA,NA,"528363237687844864","CRESTMONT",1,73
"#yyckidcount we ran out of candy at 125 kids, 4 Elsa's. #mahogany @nenshi",FALSE,0,NA,2014-11-01 01:50:42,FALSE,NA,"528363469499023361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eric_wilhite",0,FALSE,FALSE,NA,NA,"528363469499023361","MAHOGANY",2,NA
"#yyckidcount south Cranston, I'd say no more than 30. Yes I am coining the phrase ""south Cranston"" @nenshi",FALSE,0,NA,2014-11-01 01:50:47,FALSE,NA,"528363490462142464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sonja531",0,FALSE,FALSE,NA,NA,"528363490462142464","C(""CRANSTON"", ""CRANSTON"")",1,30
"@nenshi @Daorcey @mahoganyliving slowing down in Mahogany, we've seen 50ish kids, lots of really young ones #supercute #yyckidcount",FALSE,0,"nenshi",2014-11-01 01:51:20,FALSE,"527861315331575808","528363628672851968","33798654","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","DawnMcKay",0,FALSE,FALSE,NA,NA,"528363628672851968","C(""MAHOGANY"", ""MAHOGANY"")",1,50
"Pretty sure the #yyckidcount in Citadel is 50. Also #elsacount is 9 @nenshi",FALSE,0,NA,2014-11-01 01:51:22,FALSE,NA,"528363639695110145",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mbingley",0,FALSE,FALSE,NA,NA,"528363639695110145","CITADEL",2,NA
"Had 26 in Dalhousie. Great costumes! Pretty quiet now #yyckidcount",FALSE,2,NA,2014-11-01 01:52:25,FALSE,NA,"528363902183043073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cbirdgeneau",0,FALSE,FALSE,NA,NA,"528363902183043073","DALHOUSIE",1,26
"#yyckidcount 25 so far in Auburn Bay, and the ghouls are still spectrally emanating past... #boo #trickortreat",FALSE,0,NA,2014-11-01 01:52:40,FALSE,NA,"528363965639032832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MichaelBurjack",0,FALSE,FALSE,NA,NA,"528363965639032832","AUBURN BAY",1,25
"35 kids so far in edgemont. #yyckidcount",FALSE,1,NA,2014-11-01 01:52:59,FALSE,NA,"528364042902335488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","enspate",0,FALSE,FALSE,NA,NA,"528364042902335488","EDGEMONT",1,35
"65 in Renfrew! #yyckidcount",FALSE,1,NA,2014-11-01 01:53:24,FALSE,NA,"528364148011196416",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","klaszus",0,FALSE,FALSE,NA,NA,"528364148011196416","RENFREW",1,65
"In Springbank Hill we had 150 pcs of candy, gave out 2 each and we are cleaned out. Soooooo 65 kids (I ate 20 pcs) @nenshi #yyckidcount",FALSE,1,NA,2014-11-01 01:54:02,FALSE,NA,"528364307445481472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shubhs99",0,FALSE,FALSE,NA,NA,"528364307445481472","SPRINGBANK HILL",4,NA
"Just moved into Oakridge, ended up with 17 kids. Far cry from our count in McKenzie Towne last year #yyckidcount",FALSE,0,NA,2014-11-01 01:54:05,FALSE,NA,"528364323404808192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoannaAlcock",0,FALSE,FALSE,NA,NA,"528364323404808192","C(""OAKRIDGE"", ""MCKENZIE TOWNE"")",1,17
"""@Andrew_Sully: #yyckidcount 33 in Citadel Meadow NW"" #yycnw http://t.co/uM0yJQKQzm",FALSE,0,NA,2014-11-01 01:55:05,FALSE,NA,"528364575096594432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realABswim_tri",0,FALSE,FALSE,NA,NA,"528364575096594432","CITADEL",2,NA
"71 kids in Panorama Hills #yyckidcount ..could have had more, ran out of candies &amp; coins. :o(",FALSE,1,NA,2014-11-01 01:55:47,FALSE,NA,"528364749965500416",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Wpg_Nana",0,FALSE,FALSE,NA,NA,"528364749965500416","PANORAMA HILLS",1,71
"@nenshi 57 adorable little Calgarians and #yyckidcount #evanston",FALSE,0,"nenshi",2014-11-01 01:55:56,FALSE,NA,"528364789349617665","33798654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shaedegelman",0,FALSE,FALSE,NA,NA,"528364789349617665","EVANSTON",1,57
"Happy Halloween! KD used tally marks to count 35 kids in Auburn Bay. @Wondering_Ones #yyckidcount http://t.co/q8mkviY76D",FALSE,2,NA,2014-11-01 01:56:21,FALSE,NA,"528364891040911360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeannDeisting",1,FALSE,FALSE,NA,NA,"528364891040911360","AUBURN BAY",3,NA
"9 kids in Richmond Hill. Only 7 peanut butter cups eaten. Still think I win. #yyckidcount",FALSE,1,NA,2014-11-01 01:56:33,FALSE,NA,"528364941552926720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LKDohy",0,FALSE,FALSE,NA,NA,"528364941552926720","RICHMOND",2,NA
"Only 12 kids came to the door for Halloween #yyckidcount in Chaparral Valley",FALSE,0,NA,2014-11-01 01:58:56,FALSE,NA,"528365540310798336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riouxjason",0,FALSE,FALSE,NA,NA,"528365540310798336","CHAPARRAL",1,12
"#yyckidcount Arbour Lake.   37 little people so far who've saved me from eating ALL the candy!! Ì†ºÌΩä",FALSE,0,NA,2014-11-01 01:59:21,FALSE,NA,"528365645449015296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OSutthery",0,FALSE,FALSE,NA,NA,"528365645449015296","ARBOUR LAKE",1,37
"37 kids in Chinook Park  #yyckidcount lots of new young families moving in, in the past couple of years #ckecommunity",FALSE,0,NA,2014-11-01 01:59:31,FALSE,NA,"528365690613694464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","natalieveldhoen",0,FALSE,FALSE,NA,NA,"528365690613694464","CHINOOK PARK",1,37
"oops, didn't #yyckidcount . Guessing 40-50 in Capitol Hill NW. Mostly young ones up till 8 pm. More kids than usual. Very cute ones.",FALSE,0,NA,2014-11-01 02:01:08,FALSE,NA,"528366095804026881",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","360businesspics",0,FALSE,FALSE,NA,NA,"528366095804026881","CAPITOL HILL",3,NA
"#yyckidcount 9 kids total, Bankview",FALSE,0,NA,2014-11-01 02:01:16,FALSE,NA,"528366127769219072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PinkRobeYYC",0,FALSE,FALSE,NA,NA,"528366127769219072","BANKVIEW",1,9
"Only 11 kids hit our house in #rosscarrock #yyckidcount #lame",FALSE,0,NA,2014-11-01 02:01:44,FALSE,NA,"528366248883519488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","averageyyc",0,FALSE,FALSE,NA,NA,"528366248883519488","ROSSCARROCK",1,11
"#yyckidcount 52 in Castleridge",FALSE,0,NA,2014-11-01 02:02:55,FALSE,NA,"528366544175509504",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","c_double_u72",0,FALSE,FALSE,NA,NA,"528366544175509504","CASTLERIDGE",1,52
"#yyckidcount  FINAL COUNT.   t2y 3h7 Somerset  42!",FALSE,0,NA,2014-11-01 02:03:02,FALSE,NA,"528366574571245569",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Weezee45",0,FALSE,FALSE,NA,NA,"528366574571245569","SOMERSET",4,NA
